_id,text
ObjectId(5cafae8872d50143e4a9b372),"US Midwest was hammered by flooding in recent weeks
https://t.co/AKOeU8sI0r 
and now it's about to be buried in a s… https://t.co/yPbvX7E2mX"
ObjectId(5cafae8972d50143e4a9b375),"RT @Carbongate: No one would have believed that as humanity panicked over climate change, a power immeasurably superior to them was slowly…"
ObjectId(5cafae8972d50143e4a9b378),"Good we got that cleared up. Opinions approved that there is an extinction level event coming...
#albedoeffect… https://t.co/kPog4jf1zg"
ObjectId(5cafae9472d50143e4a9b37b),"RT @UNICEF_france: Plus de 3 enfants sur 4 respirent un air pollué et toxique en #France. 
Nos élus doivent prendre des mesures pour protég…"
ObjectId(5cafae9472d50143e4a9b37e),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafae9972d50143e4a9b381),@opiemuyo Jay Inslee is the only candidate making #ClimateChange a priority.  https://t.co/Dw7y86VVWN
ObjectId(5cafae9b72d50143e4a9b384),"RT @BrianMAGAswagga: G'mornin friends from lovely ❄#MinneSnowta❄
Ahhhhhh🌱🌷Springtime🌼🌻🌞
What's the saying? 🤔
April showers, FREEZES-TH outt…"
ObjectId(5cafae9b72d50143e4a9b387),RT @_aploy: As our study + others make clear: every year of delay in transitioning away from our #fossilfuel reliance means that we're jeop…
ObjectId(5cafaea272d50143e4a9b38a),"RT @TerrenceEdwards: The sad reality of climate change. The walrus with no ice or place to go.

#Walrus 
#OurPlanet
#ClimateChange 
#Climat…"
ObjectId(5cafaead72d50143e4a9b38d),RT @Dragofix: #Air #pollution: How does #London's new #emissions zone compare? https://t.co/PzVNtShqp3 #environment #AirPollution #pollutan…
ObjectId(5cafaeae72d50143e4a9b390),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafaeaf72d50143e4a9b393),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafaeb072d50143e4a9b396),"RT @OceanaChile: 🔵EL DESHIELO DE LOS GLACIARES HA HECHO QUE AUMENTE EN 27 MILÍMETROS EL NIVEL DEL MAR
Se ha mantenido un patrón de 1 milíme…"
ObjectId(5cafaeb072d50143e4a9b399),"RT @PaulEDawson: The Permafrost Line Has Moved 80 Miles North In 50 Years In Parts of Canada

The Sahara Desert Has Gotten 10% Bigger Since…"
ObjectId(5cafaeb372d50143e4a9b39c),Our last #BooktoAction program is this Saturday with author and climate scientist David Goodrich. Join us as we dis… https://t.co/9wtEIiEyD6
ObjectId(5cafaebd72d50143e4a9b39f),"RT @FrasierHarry: #Yulin, and the dog meat markets of Asia, have nothing on #Australia. 
Horrific. Don't look away. This is done in your na…"
ObjectId(5cafaebf72d50143e4a9b3a2),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafaec172d50143e4a9b3a5),RT @envirodefence: #Media: Our statement on Ontario's 2019 Budget - Ontario’s budget shows that this government isn’t serious about fightin…
ObjectId(5cafaec472d50143e4a9b3a8),"RT @mOppenheimTV: #NEWS:  Despite residing in woodlands where shade protects against warm weather, #ClimateChange is negatively impacting m…"
ObjectId(5cafaece72d50143e4a9b3ab),"RT @ArchKennedy: It’s time for us all to recognize the 97% con game. 

Also, the climate changes constantly, but there is no way to know ho…"
ObjectId(5cafaed172d50143e4a9b3ae),Commitments -&gt; kWh for real people: #SE4All + NY + #SocialGood https://t.co/7qlQC753tl HT @navift @kaeru_2010… https://t.co/n8ALOlc7Pp
ObjectId(5cafaed272d50143e4a9b3b1),@Brettwashere Jay Inslee is the only candidate making #ClimateChange a priority.  https://t.co/Dw7y86VVWN
ObjectId(5cafaed272d50143e4a9b3b4),RT @AaronDodd: This election is arguably the most important in our history. We face an existential crisis in #climatechange. The Libs deny…
ObjectId(5cafaed372d50143e4a9b3b7),"RT @JWSpry: @Talis72078421 SCIENTISTS blamed the same mechanism - #PolarVortex - for causing the #GlobalCooling 'crisis' of the 1970's.

BR…"
ObjectId(5cafaed572d50143e4a9b3ba),Former oil lobbyist David Bernhardt confirmed as Interior secretary. Yay? https://t.co/4ikAoU6kui #environment #climatechange
ObjectId(5cafaed672d50143e4a9b3bd),"“Just got tasked with addressing #climatechange” - the Sipster

Ripping stuff from @PennyMealy"
ObjectId(5cafaed872d50143e4a9b3c0),RT @clearenergy: Cities across the country have tried to sue #oilandgas companies over #ClimateChange. The suits have been unmasked as base…
ObjectId(5cafaedb72d50143e4a9b3c3),"RT @RashidaTlaib: Actions matter especially when folks try to tell us via press releases that they care about our air, public health and en…"
ObjectId(5cafaede72d50143e4a9b3c6),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafaee072d50143e4a9b3c9),"RT @TerrenceEdwards: The sad reality of climate change. The walrus with no ice or place to go.

#Walrus 
#OurPlanet
#ClimateChange 
#Climat…"
ObjectId(5cafaee472d50143e4a9b3cc),RT @wildlifeaction: Salamanders are increasingly in jeopardy as stream-water temperatures continue to rise due to climate change! Shout out…
ObjectId(5cafaee772d50143e4a9b3cf),"RT @EnergyWindhan: #WindEnergy and #blockchain #technology can help solve the global #pollution crisis. 
👉 JOIN US in bringing renewable en…"
ObjectId(5cafaeeb72d50143e4a9b3d2),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafaeed72d50143e4a9b3d5),"RT @MikeHudema: Pakistan is planting 10 billion trees. To fight #climatechange with forests. 

We have the solutions, there is no time to w…"
ObjectId(5cafaeee72d50143e4a9b3d8),There was also the time a major arms contractor let slip “expanded business opportunities are likely to arise as co… https://t.co/8KlJ4SZho6
ObjectId(5cafaef172d50143e4a9b3db),"RT @LangstonePS: #LPSClass10 a powerful, persuasive speech about #climatechange inspired by @GretaThunberg please retweet #letsmakeadiffere…"
ObjectId(5cafaefb72d50143e4a9b3de),RT @DavidMcLA: The seductive argument here that 'Canada doesn't matter' is an open invitation to our politicians to do nothing on climate.…
ObjectId(5cafaefb72d50143e4a9b3e1),RT @climatefactaday: Nitrogen trifluoride (NF3) is a potent greenhouse gas used most frequently in electronics like the production of semi-…
ObjectId(5cafaefb72d50143e4a9b3e4),"RT @MikeHudema: Pakistan is planting 10 billion trees. To fight #climatechange with forests. 

We have the solutions, there is no time to w…"
ObjectId(5cafaefe72d50143e4a9b3e7),"RT @pschmidtdc: 7 American cities could disappear by 2100 because of sea-level rise — “No city is immune to the effects of a warming world,…"
ObjectId(5cafaf0172d50143e4a9b3ea),RT @SukolVentures: Really good discussion re: transportation priorities at last night's @biz4pdx #Transportation As Liberation event on beh…
ObjectId(5cafaf0172d50143e4a9b3ed),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafaf0272d50143e4a9b3f0),3-23-19: The vulnerability of California's coast is terrifying. A new study suggests flooding could surpass some of… https://t.co/jQyPzFhxQ8
ObjectId(5cafaf0272d50143e4a9b3f3),RT @Environment2022: Global warming is happening now. The planet's temperature is rising. The trend is clear and unmistakable.Every one of…
ObjectId(5cafaf0372d50143e4a9b3f6),"#Farmers cop #river #water pumping embargo, while 

-#Whitehaven #mine gets exemption
-#Adani #coal mine gets unlim… https://t.co/I9mVmno9wz"
ObjectId(5cafaf0672d50143e4a9b3f9),"RT @ArchKennedy: It’s time for us all to recognize the 97% con game. 

Also, the climate changes constantly, but there is no way to know ho…"
ObjectId(5cafaf0772d50143e4a9b3fc),"RT @courtmullins: Renewables make decarbonization $15 trillion cheaper, promise $160 trillion in savings by 2050 in “health, subsidy, and c…"
ObjectId(5cafaf0972d50143e4a9b3ff),"RT @_aploy: #Asthma is the most common long-term medical condition affecting children worldwide today, and it still has no cure. Our result…"
ObjectId(5cafaf0c72d50143e4a9b402),"RT @PaulEDawson: The Permafrost Line Has Moved 80 Miles North In 50 Years In Parts of Canada

The Sahara Desert Has Gotten 10% Bigger Since…"
ObjectId(5cafaf0e72d50143e4a9b405),"Fun Lib Dem Pint tonight with ⁦⁦@liberalbrighton⁩

⁦Excellent Parliamentary candidate ⁦@BeatriceLibDem⁩ leading gre… https://t.co/XZ5MivYF92"
ObjectId(5cafaf1672d50143e4a9b408),"Scary......and (shouldn't have to say this) TRUE!!!

Great work @weatherchannel, please keep it up.

#GlobalWarming… https://t.co/PtW5sdwsWX"
ObjectId(5cafaf1c72d50143e4a9b40b),"RT @PaulEDawson: ""Policymakers have severely underestimated the risks of ecological tipping points, according to a study that shows 45% of…"
ObjectId(5cafaf1d72d50143e4a9b40e),"RT @Matt_B_Tyler: “Just got tasked with addressing #climatechange” - the Sipster

Ripping stuff from @PennyMealy https://t.co/FbQE1gD3tb"
ObjectId(5cafaf1d72d50143e4a9b411),"RT @EdwardJDavey: Fun Lib Dem Pint tonight with ⁦⁦@liberalbrighton⁩

⁦Excellent Parliamentary candidate ⁦@BeatriceLibDem⁩ leading great tea…"
ObjectId(5cafaf2072d50143e4a9b414),"RT @EnergyWindhan: #WindEnergy and #blockchain #technology can help solve the global #pollution crisis. 
👉 JOIN US in bringing renewable en…"
ObjectId(5cafaf2872d50143e4a9b417),Coffee farmers are being forced to sell crops at a loss to compete with bigger producers thanks to the impact of ag… https://t.co/jcWDK1QMZv
ObjectId(5cafaf2c72d50143e4a9b41a),"With one change to the #BaselConvention, we could stop plastic dumping and help save our oceans. Sign now to sway t… https://t.co/3N4pqQidek"
ObjectId(5cafaf3172d50143e4a9b41d),"RT @PeterWMurphy1: The Abbott-Turnbull-Morrison Govt has delivered fear, division, hatred and lies. It has served the interests of its bill…"
ObjectId(5cafaf3472d50143e4a9b420),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafaf3672d50143e4a9b423),RT @climate_kic_aus: Do you have an idea that could help the world tackle #ClimateChange? Enter ClimateLaunchpad #CLP19 the world’s biggest…
ObjectId(5cafaf3772d50143e4a9b426),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafaf3872d50143e4a9b429),https://t.co/kzgBv6bTov Click the link to help fund my work without any cost to you #makemoney #CES2019… https://t.co/5C6rK1aq1D
ObjectId(5cafaf3972d50143e4a9b42c),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafaf3c72d50143e4a9b42f),RT @CerrenRichards: (1/4) #Seabirds are the most threatened group of birds and their status is deteriorating rapidly. Anthropogenic activit…
ObjectId(5cafaf3c72d50143e4a9b432),"I've just found enough evidence against #GlobalWarming  :))

This picture is better to be here for future reference… https://t.co/wiLdGPV4lx"
ObjectId(5cafaf3d72d50143e4a9b435),"RT @FP_Champagne: ""When tides rise and fires burn, we see the havoc nature can wreak.

Two weeks ago, our government partnered with the #To…"
ObjectId(5cafaf3f72d50143e4a9b438),RT @Environment2022: Global warming is happening now. The planet's temperature is rising. The trend is clear and unmistakable.Every one of…
ObjectId(5cafaf4272d50143e4a9b43b),"RT @RashidaTlaib: Actions matter especially when folks try to tell us via press releases that they care about our air, public health and en…"
ObjectId(5cafaf4a72d50143e4a9b43e),RT @mitgc_cm: Commitments -&gt; kWh for real people: #SE4All + NY + #SocialGood https://t.co/7qlQC753tl HT @navift @kaeru_2010 @Payteer #clima…
ObjectId(5cafaf4b72d50143e4a9b441),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafaf4e72d50143e4a9b444),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafaf5572d50143e4a9b447),#Retail #retailers #retailer #plasticfree #sustainability #environment #climatechange #greenpeace #AnimalCruelty https://t.co/3jDlJo5FVo
ObjectId(5cafaf5872d50143e4a9b44a),RT @NSIDC: ‘‘The influence of glaciers on sea level is bigger than we thought.’’ -NSIDC's @MarkSerreze discusses a new @nature study (https…
ObjectId(5cafaf5f72d50143e4a9b44d),"RT @sciencemagazine: In a #LetterToScience, researchers call for the support of recent grassroots mobilization of young #climate protestors…"
ObjectId(5cafaf6172d50143e4a9b450),"RT @rustandfray: Sadly very true 😒

#climatechange #Sustainability #BlackHole https://t.co/c66QEkTvil"
ObjectId(5cafaf6172d50143e4a9b453),RT @LenkaAnna7: #太地町 Baby whales whisper to their mothers so predators dont hear LINK: (link: https://t.co/KS2sJG9CzV)  https://t.co/Pj7wF1…
ObjectId(5cafaf6672d50143e4a9b456),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafaf6872d50143e4a9b459),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafaf6f72d50143e4a9b45c),"RT @Thongch34759935: Logic 101
1. #ClimateChange causes #migration 
2. People opposed to migration are hateful racist white supremacist 
3.…"
ObjectId(5cafaf7172d50143e4a9b45f),@JoshFrydenberg @billshortenmp The planet can’t afford to keep a Liberal government that refuses to address the thr… https://t.co/zKrV8h14K6
ObjectId(5cafaf7572d50143e4a9b462),#BuildTheWallNow
ObjectId(5cafaf7672d50143e4a9b465),"RT @UNEP_FI: Chris Perceval presenting @Trucost's Carbon Price Risk Premiums at #RRT2019 in Cairo. Part of discussion on the opportunities,…"
ObjectId(5cafaf7772d50143e4a9b468),"RT @SRtoxics: A welcome decision by the U.K. Supreme Court!  
Nearly 2000 Zambian victims of #toxic #pollution from a copper mine will have…"
ObjectId(5cafaf7d72d50143e4a9b46b),"RT @The_BenMears: Scary......and (shouldn't have to say this) TRUE!!!

Great work @weatherchannel, please keep it up.

#GlobalWarming #Clim…"
ObjectId(5cafaf7f72d50143e4a9b46e),#WBGMeetings #BoyWhoHarnessedTheWind let’s enjoy the movie 🎥 🍿 with the #Bllog4Dev squad and let’s have a chat with… https://t.co/gJPMfwJt52
ObjectId(5cafaf8372d50143e4a9b471),"In an open letter to #Amazon’s board of directors and CEO #JeffBezos, thousands of employees have asked the company… https://t.co/rOpTXVw8Ll"
ObjectId(5cafaf8472d50143e4a9b474),"RT @PaulEDawson: ""Policymakers have severely underestimated the risks of ecological tipping points, according to a study that shows 45% of…"
ObjectId(5cafaf8572d50143e4a9b477),Mme @agnesbuzyn : la #pollution de l'air issue du trafic routier met la #santé des enfants en danger. Portez les pr… https://t.co/a4sIEZHo9J
ObjectId(5cafaf8672d50143e4a9b47a),"RT @JennySelsby: Pakistan is planting 10 billion trees. To fight #climatechange with forests. 

We have the solutions, there is no time to…"
ObjectId(5cafaf8672d50143e4a9b47d),@mekki Jay Inslee is the only candidate making #ClimateChange a priority.  https://t.co/Dw7y86VVWN
ObjectId(5cafaf8972d50143e4a9b480),"RT @BrianMAGAswagga: G'mornin friends from lovely ❄#MinneSnowta❄
Ahhhhhh🌱🌷Springtime🌼🌻🌞
What's the saying? 🤔
April showers, FREEZES-TH outt…"
ObjectId(5cafaf8b72d50143e4a9b483),"RT @tedlieu: I'm thinking that if Albert Einstein were alive today, he would be super happy at this discovery and super distressed that the…"
ObjectId(5cafaf8b72d50143e4a9b486),"@antoniocostapm @govpt @ambiente_pt Min Costa
Sec Neves

Pls sign this pledge.

#UK' @SavannahRes(75%) &amp; #Australia… https://t.co/EVGuIZFTrp"
ObjectId(5cafaf8b72d50143e4a9b489),I have spent over half of my almost seven decades in Alaska and this breaks my heart ... #GlobalWarming is transfor… https://t.co/ce7CfkJddn
ObjectId(5cafaf8f72d50143e4a9b48c),"RT @TerrenceEdwards: The sad reality of climate change. The walrus with no ice or place to go.

#Walrus 
#OurPlanet
#ClimateChange 
#Climat…"
ObjectId(5cafaf9372d50143e4a9b48f),"RT @UNFCCC: Former @UN SG Ban Ki-moon, “I am sorry to have to repeat the same message over and over again that we need urgent #ClimateActio…"
ObjectId(5cafaf9972d50143e4a9b492),"RT @mymediarelation: Cosa può fare la #finanza per combattere il #climatechange ? Gli strumenti ci sono, bisogna usarli in maniera sinergic…"
ObjectId(5cafaf9b72d50143e4a9b495),"We need #ClimateActionNow.
#ClimateChangeIsReal"
ObjectId(5cafaf9b72d50143e4a9b498),"RT @Matt_B_Tyler: “Just got tasked with addressing #climatechange” - the Sipster

Ripping stuff from @PennyMealy https://t.co/FbQE1gD3tb"
ObjectId(5cafaf9c72d50143e4a9b49b),#Modi says #Gandhi showed the pathway to fight #climatechange https://t.co/aE2HU07Aix
ObjectId(5cafaf9c72d50143e4a9b49e),"RT @_davidarabia: Une bonne raison de mettre en place la gratuité des transports en commun, et le développement du ferroviaire ! C'est ce q…"
ObjectId(5cafaf9c72d50143e4a9b4a1),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafafa472d50143e4a9b4a4),"Min Costa
Sec Neves

Pls sign this pledge.

#UK' @SavannahRes(75%) &amp; #Australia' https://t.co/S8ffuOuyW4(25%) are e… https://t.co/qN8fASp3gG"
ObjectId(5cafafa472d50143e4a9b4a7),"RT @UNICEF_france: #Pollution de l'air : selon une étude publiée ce jeudi, le trafic automobile serait responsable de 4 millions de nouveau…"
ObjectId(5cafafa772d50143e4a9b4aa),@RebeccaRKaplan @AOC @IlhanMN I blame #climatechange
ObjectId(5cafafa872d50143e4a9b4ad),"RT @OceanaChile: 🔵EL DESHIELO DE LOS GLACIARES HA HECHO QUE AUMENTE EN 27 MILÍMETROS EL NIVEL DEL MAR
Se ha mantenido un patrón de 1 milíme…"
ObjectId(5cafafa972d50143e4a9b4b0),"RT @dpgiannoulis: Τα πλαστικά απόβλητα αποσυντίθενται σε νανοσωματίδια
https://t.co/yUjuiBsvYc
#nanoplastics #plasticpollution #plasticwast…"
ObjectId(5cafafb672d50143e4a9b4b3),"@JustinTrudeau @ehtelescope Day #64 #SNCLavalin scandal! No #LiberalParty morals, ethics or spine to #StandWithJody… https://t.co/ee94w2fpQn"
ObjectId(5cafafb872d50143e4a9b4b6),"@PaulEvansOregon @SenatorWinters @RonWyden @kurt @SenJeffMerkley 

#ClimateChange + #GlobalInsectCollapse =… https://t.co/w1gPG2kvXp"
ObjectId(5cafafba72d50143e4a9b4b9),"RT @YorksWildlife: Hi @AliBrownleetri, for the love of Yorkshire, will you please RT? 💚 https://t.co/4hNxxHkEWq"
ObjectId(5cafafbe72d50143e4a9b4bc),Me too
ObjectId(5cafafc172d50143e4a9b4bf),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafafc272d50143e4a9b4c2),"Are we a few natural disasters away from a financial meltdown?

https://t.co/FIUhMhNpAk

#climatechange #investing"
ObjectId(5cafafc272d50143e4a9b4c5),Amazon #climatechange: Employees urge Bezos to reduce carbon emissions: Vox https://t.co/dbV2SZ627q #environment |… https://t.co/wwg0ZoHEKq
ObjectId(5cafafc372d50143e4a9b4c8),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafafc572d50143e4a9b4cb),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafafca72d50143e4a9b4ce),"RT @PreventionWeb: Southern Africa is not traditionally hit by big cyclones. But #CycloneIdai and its aftermath are a wake up call, as #cli…"
ObjectId(5cafafd372d50143e4a9b4d1),"RT @RashidaTlaib: Actions matter especially when folks try to tell us via press releases that they care about our air, public health and en…"
ObjectId(5cafafd472d50143e4a9b4d4),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafafd772d50143e4a9b4d7),"RT @GuiseppeHammer: My experience with #climatechange includes when #hurricanesandy hit NYC, there were mass gas shortages, people stranded…"
ObjectId(5cafafda72d50143e4a9b4da),"RT @PaulEDawson: ""Policymakers have severely underestimated the risks of ecological tipping points, according to a study that shows 45% of…"
ObjectId(5cafafe072d50143e4a9b4dd),"RT @husendidi: #ClimateChange is real and #DestructiveDevelopment is the main reason. Politicians, big business tycoons and corrupt Consult…"
ObjectId(5cafafe372d50143e4a9b4e0),"RT @PaulEDawson: ""Policymakers have severely underestimated the risks of ecological tipping points, according to a study that shows 45% of…"
ObjectId(5cafafe572d50143e4a9b4e3),"RT @EdwardJDavey: Fun Lib Dem Pint tonight with ⁦⁦@liberalbrighton⁩

⁦Excellent Parliamentary candidate ⁦@BeatriceLibDem⁩ leading great tea…"
ObjectId(5cafafe572d50143e4a9b4e6),"RT @globalcompact: CEOs need to step in to fill the leadership void and take lead in the #climatechange battle – @PaulPolman 
#GOexplorer
h…"
ObjectId(5cafafe772d50143e4a9b4e9),"RT @Lbloggeruk: Why you should donate to the @TREEAID campaign...

https://t.co/1TRZ1I4rkD

#climatechange #trees #environmental #africa #p…"
ObjectId(5cafafeb72d50143e4a9b4ec),"RT @affluencekana: ジュゴンとウミガメがいっしょに泳ぐ姿

どちらも生態系を守る大切な生き物

こんな海をなくしたくない

#エコシステム #沖縄ジュゴン #地球温暖化 #絶滅危惧種
#英語 #リーダーシップ #環境保護
#Dugong #seaturtle…"
ObjectId(5cafafef72d50143e4a9b4ef),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafafef72d50143e4a9b4f2),"RT @sciencemagazine: In a #LetterToScience, researchers call for the support of recent grassroots mobilization of young #climate protestors…"
ObjectId(5cafaff272d50143e4a9b4f5),"RT @BonesUK: “If your government isn’t protecting you and the future of your kids, you have a duty to rebel, and a right to rebel,” article…"
ObjectId(5cafaff472d50143e4a9b4f8),RT @ClimateDan_: Here’s the film of the March 15th London #ClimateStrike: https://t.co/zay1DJiKt3
ObjectId(5cafaff672d50143e4a9b4fb),This is a super initiative on the part of @itsligo. We all have our part to play and with small steps collectively… https://t.co/tDKZc5UGZA
ObjectId(5cafaff872d50143e4a9b4fe),"@andrew_lilico #JC4PM asap #ForTheMany #changeMUSTcome #climatechange #ExtinctionRebellion
End to neo  - liberal po… https://t.co/lRbIuFCd54"
ObjectId(5cafaff872d50143e4a9b501),"RT @Carbongate: No one would have believed that as humanity panicked over climate change, a power immeasurably superior to them was slowly…"
ObjectId(5cafaffb72d50143e4a9b504),"RT @EdwardJDavey: Fun Lib Dem Pint tonight with ⁦⁦@liberalbrighton⁩

⁦Excellent Parliamentary candidate ⁦@BeatriceLibDem⁩ leading great tea…"
ObjectId(5cafaffb72d50143e4a9b507),"RT @RashidaTlaib: Actions matter especially when folks try to tell us via press releases that they care about our air, public health and en…"
ObjectId(5cafaffc72d50143e4a9b50a),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafaffe72d50143e4a9b50d),"RT @Lidsville: As a friend just said, Well so much for Mr Trudeau's statement that no nation would leave billions of barrels of oil in the…"
ObjectId(5cafafff72d50143e4a9b510),Sharpe: The Religion of #ClimateChange: Farmington Daily Times https://t.co/rgbGDIdOG3 #environment | More w/ Eco-S… https://t.co/EmzBVGFpPi
ObjectId(5cafafff72d50143e4a9b513),RT @JohnRMoffitt: Diamond and Silk who have turned #Trump worship into performance art now say #ClimateChange is caused by Earth's constant…
ObjectId(5cafb00072d50143e4a9b516),@_bbailey0011 Jay Inslee is the only candidate making #ClimateChange a priority.  https://t.co/Dw7y86VVWN
ObjectId(5cafb00072d50143e4a9b519),"@cathmckenna @MaryNicholsCA Day #64 #SNCLavalin scandal! No #LiberalParty morals, ethics or spine to #StandWithJody… https://t.co/NfpzGxGUY8"
ObjectId(5cafb00172d50143e4a9b51c),RT @RealJamesWoods: #ClimateChange and #Racism are the most tired tropes of this election cycle. I simply say #yawn every time some tired o…
ObjectId(5cafb00872d50143e4a9b51f),RT @crherbach: Orgullosa de aportar con @OIMChile en la #COP25. Visibilizar y accionar sobre #Migrantesclimáticos es nuestra misión / Proud…
ObjectId(5cafb00a72d50143e4a9b522),Takeaways from today’s @QuinnipiacPoll on #California &amp; #climate: Strong majority (63%) believe #climatechange is a… https://t.co/7k9jLAwRxE
ObjectId(5cafb01372d50143e4a9b525),RT @evankirstel: The @weatherchannel is using mind-blowing immersive #CGI to show the very real dangers of #climatechange https://t.co/u5J9…
ObjectId(5cafb01772d50143e4a9b528),"RT @djmor6: Climate Change Could Destroy His Home in Peru. So He Sued an Energy Company in Germany. - The New York Times

#climatechange #a…"
ObjectId(5cafb01772d50143e4a9b52b),RT @AOC: Sec. John Kerry: “Congresswoman Ocasio-Cortez  has in fact offered more leadership in one day or in one week than President Trump…
ObjectId(5cafb01772d50143e4a9b52e),"Oceans’ fever means fewer fish

Since 1930, some regions have seen a 35 percent drop in individuals that can be cau… https://t.co/Uhu7hmcRdY"
ObjectId(5cafb01a72d50143e4a9b531),"RT @PaulEDawson: ""Policymakers have severely underestimated the risks of ecological tipping points, according to a study that shows 45% of…"
ObjectId(5cafb01d72d50143e4a9b534),"As #climatechange escalates so much of the ""sustainability"" chatter is ""like discussing the health and safety polic… https://t.co/Nt8VcgOsNC"
ObjectId(5cafb01d72d50143e4a9b537),RT @Environment2022: Global warming is happening now. The planet's temperature is rising. The trend is clear and unmistakable.Every one of…
